rcid,session,vote,ccode,Country,CABB
5309,68,1,692,Bahrain,BAH
5309,68,1,690,Kuwait,KUW
5309,68,1,20,Canada,CAN
5309,68,1,694,Qatar,QAT
5309,68,2,160,Argentina,ARG
5309,68,8,698,Oman,OMA
5309,68,1,344,Croatia,CRO
5309,68,8,345,Serbia,YUG
5309,68,8,346,Bosnia and Herzegovina,BOS
5309,68,8,404,Guinea-Bissau,GNB
5309,68,2,403,Sao Tome and Principe,STP
5309,68,1,341,Montenegro,MNG
5309,68,1,343,Macedonia,MAC
5309,68,1,811,Cambodia,CAM
5309,68,8,812,Laos,LAO
5309,68,1,349,Slovenia,SLV
5309,68,2,816,Viet Nam,DRV
5309,68,8,678,Yemen,YEM
5309,68,2,522,Djibouti,DJI
5309,68,1,670,Saudi Arabia,SAU
5309,68,2,712,Mongolia,MON
5309,68,2,710,China,CHN
5309,68,1,260,Germany,GMY
5309,68,2,420,Gambia,GAM
5309,68,1,986,Palau,PAL
5309,68,2,58,Antigua & Barbuda,AAB
5309,68,8,55,Grenada,GRN
5309,68,2,54,Dominica,DMA
5309,68,2,57,St. Vincent and the Grenadines,SVG
5309,68,2,56,St. Lucia,SLU
5309,68,2,51,Jamaica,JAM
5309,68,1,53,Barbados,BAR
5309,68,1,52,Trinidad and Tobago,TRI
5309,68,8,411,Equatorial Guinea,EQG
5309,68,2,531,Eritrea,ERI
5309,68,2,530,Ethiopia (new),ETH
5309,68,3,371,Armenia,ARM
5309,68,3,370,Belarus,BLR
5309,68,1,373,Azerbaijan,AZE
5309,68,1,372,Georgia,GRG
5309,68,1,375,Finland,FIN
5309,68,1,820,Malaysia,MAL
5309,68,1,290,Poland,POL
5309,68,1,591,Seychelles,SEY
5309,68,1,590,Mauritius,MAS
5309,68,2,704,Uzbekistan,UZB
5309,68,2,705,Kazakhstan,KZK
5309,68,1,310,Hungary,HUN
5309,68,1,317,Slovakia,SLO
5309,68,1,316,Czech Republic,CZR
5309,68,8,702,Tajikistan,TAJ
5309,68,8,703,Kyrgyzstan,KYR
5309,68,2,115,Suriname,SUR
5309,68,1,390,Denmark,DEN
5309,68,2,110,Guyana,GUY
5309,68,1,395,Iceland,ICE
5309,68,2,771,Bangladesh,BNG
5309,68,8,80,Belize,BLZ
5309,68,1,830,Singapore,SIN
5309,68,2,790,Nepal,NEP
5309,68,1,520,Somalia,SOM
5309,68,1,368,Lithuania,LIT
5309,68,1,369,Ukraine,UKR
5309,68,1,366,Estonia,EST
5309,68,1,367,Latvia,LAT
5309,68,3,365,Russian Federation,RUS
5309,68,1,910,Papua New Guinea,PNG
5309,68,1,360,Romania,ROM
5309,68,1,580,Madagascar,MAG
5309,68,2,581,Comoros,COM
5309,68,1,305,Austria,AUS
5309,68,1,380,Sweden,SWD
5309,68,1,920,New Zealand,NEW
5309,68,1,385,Norway,NOR
5309,68,1,95,Panama,PAN
5309,68,8,696,United Arab Emirates,UAE
5309,68,1,100,Colombia,COL
5309,68,3,101,Venezuela,VEN
5309,68,1,900,Australia,AUL
5309,68,2,780,Sri Lanka,SRI
5309,68,1,781,Maldives,MAD
5309,68,1,840,Philippines,PHI
5309,68,1,31,Bahamas,BHM
5309,68,8,955,Tonga,TON
5309,68,1,640,Turkey,TUR
5309,68,2,645,Iraq,IRQ
5309,68,1,438,Guinea,GUI
5309,68,2,439,Burkina Faso,BFO
5309,68,1,436,Niger,NIR
5309,68,8,437,Cote d'Ivoire,CDI
5309,68,1,434,Benin,BEN
5309,68,2,435,Mauritania,MAA
5309,68,2,432,Mali,MLI
5309,68,2,433,Senegal,SEN
5309,68,2,517,Rwanda,RWA
5309,68,2,516,Burundi,BUI
5309,68,1,620,Libya,LIB
5309,68,1,339,Albania,ALB
5309,68,1,338,Malta,MLT
5309,68,3,625,Sudan,SUD
5309,68,1,450,Liberia,LBR
5309,68,1,451,Sierra Leone,SIE
5309,68,8,452,Ghana,GHA
5309,68,2,570,Lesotho,LES
5309,68,1,331,San Marino,SNM
5309,68,2,60,St. Kitts and Nevis,SKN
5309,68,2,541,Mozambique,MZM
5309,68,1,850,Indonesia,INS
5309,68,2,970,Nauru,NAU
5309,68,2,540,Angola,ANG
5309,68,3,731,North Korea,PRK
5309,68,1,2,United States of America,USA
5309,68,3,652,Syria,SYR
5309,68,2,651,Egypt,EGY
5309,68,2,500,Uganda,UGA
5309,68,1,402,Cape Verde,CAP
5309,68,8,630,Iran,IRN
5309,68,2,510,Tanzania,TAZ
5309,68,2,750,India,IND
5309,68,2,560,South Africa,SAF
5309,68,2,700,Afghanistan,AFG
5309,68,1,461,Togo,TOG
5309,68,2,565,Namibia,NAM
5309,68,8,701,Turkmenistan,TKM
